+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_out_ic_to_avmgmem0_port_0_0_rw                                                                                                                                                                                                       ; 582   ; 5              ; 3            ; 5              ; 585    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.s_endp|rrp                                                                                                                                                                                                     ; 259   ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 582   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.s_endp|wrp                                                                                                                                                                                                     ; 3     ; 1              ; 3            ; 1              ; 1      ; 1               ; 1             ; 1               ; 326   ; 0              ; 323          ; 0                ; 323               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.s_endp                                                                                                                                                                                                         ; 260   ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 908   ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.rrp_intf                                                                                                                                                                                                       ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 258   ; 0              ; 258          ; 0                ; 258               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.wrp_intf                                                                                                                                                                                                       ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 2     ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.out_arb_intf                                                                                                                                                                                                   ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.in_arb_intf                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].m_endp                                                                                                                                                                                                      ; 2     ; 0              ; 2            ; 0              ; 0      ; 0               ; 0             ; 0               ; 1166  ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].rrp_intf                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 258   ; 0              ; 258          ; 0                ; 258               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].wrp_intf                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 2     ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].arb_intf                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].m_intf                                                                                                                                                                                                      ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 582   ; 0              ; 582          ; 0                ; 582               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw                                                                                                                                                                                                                  ; 583   ; 0              ; 0            ; 0              ; 582    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.router[0].router                                                                                                                                                                                                                            ; 584   ; 1              ; 2            ; 1              ; 581    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|s.s_endp|rrp                                                                                                                                                                                               ; 259   ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 582   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|s.s_endp|wrp                                                                                                                                                                                               ; 3     ; 1              ; 2            ; 1              ; 1      ; 1               ; 1             ; 1               ; 326   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|s.s_endp                                                                                                                                                                                                   ; 260   ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 908   ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|s.rrp_intf                                                                                                                                                                                                 ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 258   ; 0              ; 258          ; 0                ; 258               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|s.wrp_intf                                                                                                                                                                                                 ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 2     ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|s.out_arb_intf                                                                                                                                                                                             ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|s.in_arb_intf                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|m[0].m_endp                                                                                                                                                                                                ; 2     ; 0              ; 2            ; 0              ; 0      ; 0               ; 0             ; 0               ; 1166  ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|m[0].rrp_intf                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 258   ; 0              ; 258          ; 0                ; 258               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|m[0].wrp_intf                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 2     ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|m[0].arb_intf                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0|m[0].m_intf                                                                                                                                                                                                ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 582   ; 0              ; 582          ; 0                ; 582               ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_0                                                                                                                                                                                                            ; 583   ; 1              ; 0            ; 1              ; 582    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|global_memory_tree0_inst0|gmem0_.t[0].gmem0_avm_to_ic                                                                                                                                                                                                                        ; 585   ; 0              ; 5            ; 0              ; 581    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|global_memory_tree0_inst0                                                                                                                                                                                                                                                    ; 588   ; 0              ; 1            ; 0              ; 585    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_start_elem_inst_0|acl_reset_handler_inst|reset_fanout_pipeline|reset_sync_fanout_pipeline_inst                                                                                                                                                       ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_start_elem_inst_0|acl_reset_handler_inst|reset_fanout_pipeline|pulse_extender                                                                                                                                                                        ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_start_elem_inst_0|acl_reset_handler_inst|reset_fanout_pipeline                                                                                                                                                                                       ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_start_elem_inst_0|acl_reset_handler_inst                                                                                                                                                                                                             ; 2     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_start_elem_inst_0                                                                                                                                                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|theacl_clock2x_dummy_consumer                                                                                                                                                                                                          ; 3     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_outer|staging_reg                                                 ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_outer|fifo                                                        ; 34    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_outer                                                             ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_inner|scfifo_component|auto_generated|dpfifo|wr_ptr               ; 4     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_inner|scfifo_component|auto_generated|dpfifo|usedw_counter        ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_inner|scfifo_component|auto_generated|dpfifo|rd_ptr_msb           ; 4     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_inner|scfifo_component|auto_generated|dpfifo|three_comparison     ; 10    ; 5              ; 0            ; 5              ; 1      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_inner|scfifo_component|auto_generated|dpfifo|almost_full_comparer ; 10    ; 5              ; 0            ; 5              ; 1      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_inner|scfifo_component|auto_generated|dpfifo|FIFOram              ; 44    ; 0              ; 0            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_inner|scfifo_component|auto_generated|dpfifo                      ; 35    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_inner|scfifo_component|auto_generated                             ; 34    ; 1              ; 0            ; 1              ; 38     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2|fifo_inner                                                             ; 34    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo2                                                                        ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_outer|staging_reg                                                  ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_outer|fifo                                                         ; 12    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_outer                                                              ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|wr_ptr                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|usedw_counter         ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|rd_ptr_msb            ; 4     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|three_comparison      ; 12    ; 6              ; 0            ; 6              ; 1      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|almost_full_comparer  ; 12    ; 6              ; 0            ; 6              ; 1      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|FIFOram               ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo                       ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_inner|scfifo_component|auto_generated                              ; 12    ; 1              ; 0            ; 1              ; 17     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo|fifo_inner                                                              ; 12    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|ack_fifo                                                                         ; 12    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo|fifo_outer|staging_reg                                                  ; 292   ; 0              ; 0            ; 0              ; 290    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo|fifo_outer|fifo                                                         ; 292   ; 0              ; 0            ; 0              ; 292    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo|fifo_outer                                                              ; 292   ; 0              ; 0            ; 0              ; 290    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|wr_ptr                ; 4     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|usedw_counter         ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|rd_ptr_msb            ; 4     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|three_comparison      ; 10    ; 5              ; 0            ; 5              ; 1      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_system|hello_std_ic_inst|hello_inst_0|kernel|thehello_function|thebb_hello_B0|thebb_hello_B0_stall_region|thei_store_memdep_hello_aunroll_x|thei_store_memdep_hello5|bursting_write|bursting_write|req_fifo|fifo_inner|scfifo_component|auto_generated|dpfifo|almost_full_comparer  ; 10    ; 5              ; 0            ; 5              ; 1      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
